Symbol,ETF Name,Total Assets,YTD,Avg Volume,Previous Closing Price,1-Day Change,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
SPY,SPDR S&P 500 ETF Trust,"$582,958,000",21.06%,"51,725,584",$570.04,-0.22%,1.85%,2.42%,35.66%,10.30%,15.79%,"-$9,710,960,344.65","$17,211,028,862.75","$9,648,357,853.90","$36,846,529,970.00","$53,793,674,389.10","$51,270,811,193.30",Large Cap Growth Equities,1993-01-22,0.09%,N/A,$7.01,2024-09-20,$1.75,1.23%,17.86,1.00,504,34.54%,40%,20%,1099,$539.80,$575.25,$568.67,$571.65,61.41,A,A+,A-,B,B+,A-,A-,6.7,47.33%,56.10%,96.61,10.89%,7.31%
VOO,Vanguard S&P 500 ETF,"$543,177,000",21.15%,"5,665,266",$525.61,-0.20%,1.88%,2.43%,35.80%,10.37%,15.86%,"$87,026,291,486.53","$18,045,847,093.74","$26,775,226,437.47","$99,871,767,098.45","$175,483,777,057.34","$237,006,288,738.23",Large Cap Growth Equities,2010-09-07,0.03%,Vanguard,$6.62,2024-06-28,$1.78,1.26%,20.10,1.00,506,34.16%,40%,20%,1099,$497.60,$530.42,$524.41,$527.06,61.40,A,A,A,B,B+,A-,A-,6.7,47.80%,56.14%,96.83,10.89%,7.32%
IVV,iShares Core S&P 500 ETF,"$504,064,000",20.64%,"5,146,941",$572.66,-0.62%,1.44%,2.01%,35.25%,10.21%,15.79%,"$17,716,946,353.15","-$26,158,389,889.55","-$26,264,446,290.45","$42,930,960,649.05","$89,027,371,287.75","$111,073,226,722.75",Large Cap Growth Equities,2000-05-15,0.03%,3 Platforms,$7.19,2024-06-11,$1.61,1.25%,19.66,1.00,505,34.87%,40%,20%,1099,$544.57,$579.86,$571.35,$574.31,59.45,A,A,A,B,B+,A-,A-,6.7,46.93%,56.06%,96.79,10.83%,7.27%
VTI,Vanguard Total Stock Market ETF,"$441,199,000",19.69%,"2,832,180",$281.94,-0.33%,1.65%,2.36%,34.88%,8.61%,15.06%,"$24,496,764,440.12","-$415,538,974.96","$3,550,600,056.29","$32,681,959,315.31","$86,222,862,216.09","$155,201,700,585.76",Large Cap Growth Equities,2001-05-24,0.03%,2 Platforms,$3.66,2024-06-28,$0.95,1.30%,19.10,1.02,3625,29.80%,40%,20%,1099,$266.76,$285.08,$281.24,$282.89,60.81,A,A,A,B-,B,B+,A,6.56,24.08%,50.26%,96.61,10.08%,7.03%
QQQ,Invesco QQQ Trust Series I,"$294,017,000",19.14%,"37,429,728",$485.82,0.09%,3.19%,3.21%,38.10%,9.90%,21.71%,"$19,689,058,450.00","$2,281,270,700.00","$32,411,750.00","$23,691,075,100.00","$38,282,873,100.00","$69,270,699,300.00",Large Cap Growth Equities,1999-03-10,0.20%,N/A,$3.04,2024-09-23,$0.68,0.62%,22.70,1.11,102,50.97%,40%,20%,1099,$450.02,$490.48,$484.32,$487.55,58.74,B+,A,B+,A,C+,B-,B-,6.79,64.88%,60.18%,59.12,6.99%,9.28%
VUG,Vanguard Growth ETF,"$140,168,000",23.91%,"991,940",$384.22,0.23%,3.04%,3.08%,43.17%,8.74%,19.04%,"$10,313,586,718.09","-$1,503,526,134.04","$854,412,117.80","$12,676,309,673.31","$24,050,450,176.09","$30,489,212,265.69",Large Cap Growth Equities,2004-01-26,0.04%,2 Platforms,$1.88,2024-06-27,$0.46,0.49%,28.80,1.11,190,58.95%,40%,20%,1099,$356.95,$387.46,$383.09,$385.19,59.92,A-,A,A,A,C+,B-,B+,6.75,59.28%,58.49%,35.0,6.12%,11.02%
IWF,iShares Russell 1000 Growth ETF,"$98,965,100",23.97%,"1,323,425",$374.92,-0.00%,2.79%,3.31%,42.83%,10.05%,19.54%,"-$1,901,105,132.55","$112,863,156.60","$291,576,086.40","$821,939,946.60","$889,838,773.85","-$4,549,867,361.15",Large Cap Growth Equities,2000-05-22,0.19%,TD Ameritrade,$2.13,2024-06-11,$0.41,0.57%,26.10,1.08,396,59.66%,40%,20%,1099,$346.74,$379.31,$373.94,$376.07,60.06,A-,A,B+,A,C+,B-,A-,6.78,63.52%,59.69%,28.88,8.35%,9.75%
VIG,Vanguard Dividend Appreciation ETF,"$86,000,300",16.71%,"718,269",$197.07,-0.47%,0.65%,1.83%,28.59%,9.54%,12.66%,"-$131,793,832.32","$60,778,378.94","$115,109,479.91","$1,524,189,341.06","$6,124,827,381.04","$15,820,749,758.91",Large Cap Growth Equities,2006-04-21,0.06%,3 Platforms,$3.36,2024-06-28,$0.90,1.69%,21.50,0.85,340,30.01%,40%,20%,1099,$190.68,$199.31,$196.38,$198.05,61.09,A,A,A,A-,A,A-,B,6.77,55.89%,59.44%,94.05,5.11%,1.87%
ITOT,iShares Core S&P Total U.S. Stock Market ETF,"$61,664,300",19.15%,"1,304,045",$124.69,-0.69%,1.32%,1.91%,34.39%,8.51%,14.95%,"$2,563,452,746.95","$12,551,259.50","-$236,033,874.80","$3,584,235,403.50","$7,257,990,220.95","$14,103,423,365.95",Large Cap Growth Equities,2004-01-20,0.03%,Fidelity,$1.56,2024-06-11,$0.34,1.24%,18.56,1.02,2523,30.42%,40%,20%,1099,$118.42,$126.48,$124.39,$125.12,59.12,A,A,A,B-,B,B+,A,6.58,25.84%,50.81%,96.69,9.77%,7.13%
IVW,iShares S&P 500 Growth ETF,"$53,261,300",27.43%,"2,513,060",$95.53,0.00%,2.92%,3.19%,41.03%,8.13%,17.31%,"$5,905,578,784.30","$114,223,488.30","-$998,144,158.05","$5,716,851,666.30","$7,108,401,658.80","$3,951,002,728.80",Large Cap Growth Equities,2000-05-22,0.18%,Fidelity,$0.59,2024-06-11,$0.07,0.62%,20.79,1.05,234,60.59%,40%,20%,1099,$88.34,$96.58,$95.25,$95.84,60.22,A,A,B+,A,C+,A,B+,6.81,69.04%,61.40%,43.57,6.95%,10.38%
QUAL,iShares MSCI USA Quality Factor ETF,"$49,613,600",21.69%,"957,715",$178.28,-0.45%,1.08%,1.07%,37.43%,10.56%,15.73%,"$5,348,535,469.35","$53,569,206.15","$89,853,765.35","$6,531,359,166.40","$14,070,934,360.60","$18,439,302,765.60",Large Cap Growth Equities,2013-07-18,0.15%,N/A,$1.78,2024-06-11,$0.34,0.99%,17.62,1.03,126,40.30%,40%,20%,1099,$171.19,$180.66,$177.83,$178.78,58.14,A-,A,A-,B+,B,B+,B-,7.08,88.90%,73.23%,48.04,1.83%,6.96%
SCHX,Schwab U.S. Large-Cap ETF,"$46,229,200",20.28%,"1,417,129",$67.41,-0.55%,1.52%,2.15%,35.27%,9.27%,15.53%,"$1,941,777,000.00","$128,386,500.00","$548,235,000.00","$2,560,863,000.00","$4,140,326,000.00","$8,238,139,500.00",Large Cap Growth Equities,2009-11-03,0.03%,Charles Schwab,$0.82,2024-06-26,$0.21,1.21%,18.90,1.01,752,32.42%,40%,20%,1099,$63.96,$68.22,$67.24,$67.61,59.87,A,A,A,B,B,A-,A,6.66,38.33%,54.12%,95.26,10.44%,7.28%
VT,Vanguard Total World Stock ETF,"$40,694,300",16.62%,"1,203,242",$118.49,-0.50%,1.90%,2.05%,30.32%,6.38%,11.90%,"$3,479,300,991.66","$451,920,471.78","$568,205,583.51","$4,213,439,625.57","$10,934,886,279.23","$17,637,566,781.83",Large Cap Growth Equities,2008-06-24,0.07%,2 Platforms,$2.22,2024-09-20,$0.42,1.86%,15.40,0.94,9890,18.59%,40%,20%,1099,$112.53,$119.55,$118.22,$118.94,60.45,A,A,A,C+,A-,A-,A+,6.75,21.50%,58.74%,131.67,9.27%,7.19%
VV,Vanguard Large Cap ETF,"$38,438,600",21.05%,"228,382",$262.26,-0.27%,1.82%,2.44%,35.93%,9.55%,15.77%,"$1,227,830,763.47","-$103,405,676.71","$356,355,384.64","$1,565,907,152.70","$4,257,805,270.29","$6,767,285,847.04",Large Cap Growth Equities,2004-01-27,0.04%,Vanguard,$3.32,2024-06-28,$0.86,1.26%,20.30,1.01,502,33.93%,40%,20%,1099,$248.34,$264.78,$261.67,$263.01,60.92,A-,A-,A,B,B,B+,A-,6.65,36.40%,53.55%,94.0,10.85%,7.08%
IWB,iShares Russell 1000 ETF,"$37,803,000",19.76%,"909,943",$312.35,-0.57%,1.47%,2.18%,34.69%,9.06%,15.31%,"-$1,115,000,680.05","$280,815,113.85","-$793,805,038.20","-$1,094,526,013.70","-$1,053,994,693.20","-$1,393,845,563.20",Large Cap Growth Equities,2000-05-15,0.15%,TD Ameritrade,$3.58,2024-06-11,$0.73,1.14%,19.16,1.01,1011,31.53%,40%,20%,1099,$296.40,$316.34,$311.63,$313.26,59.77,A,A,A-,B-,B+,B+,A,6.63,32.51%,52.61%,96.39,10.36%,7.04%
DIA,SPDR Dow Jones Industrial Average ETF Trust,"$35,419,100",12.67%,"3,336,551",$419.12,-0.71%,1.00%,2.19%,26.97%,8.43%,11.48%,"-$650,026,526.45","-$684,683,855.45","-$427,253,439.05","-$39,551,818.05","-$21,751,352.50","$997,530,847.10",Large Cap Growth Equities,1998-01-14,0.16%,N/A,$6.92,2024-09-20,$1.25,1.64%,16.82,0.94,31,57.89%,40%,20%,1099,$402.33,$423.91,$417.35,$421.91,61.57,B+,A,B+,C,A,A,C,7.01,84.93%,69.97%,26.85,9.36%,0.16%
QQQM,Invesco NASDAQ 100 ETF,"$33,331,100",19.26%,"2,053,165",$199.98,0.12%,3.22%,3.22%,38.27%,10.00%,N/A,"$10,612,728,750.00","$401,084,610.00","$989,517,150.00","$12,753,020,830.00","$24,218,935,310.00","$25,764,385,100.00",Large Cap Growth Equities,2020-10-13,0.15%,N/A,$1.35,2024-09-23,$0.30,0.67%,22.70,1.18,103,50.99%,40%,20%,1099,$185.19,$201.86,$199.36,$200.66,58.80,B,A,B+,N/A,C+,C,B+,6.79,64.69%,60.16%,59.12,7.02%,9.31%
SCHG,Schwab U.S. Large-Cap Growth ETF,"$32,577,800",25.55%,"1,386,154",$103.94,-0.02%,2.77%,3.02%,44.91%,10.73%,20.49%,"$3,649,480,000.00","$33,455,500.00","$192,851,000.00","$4,772,825,500.00","$7,899,646,000.00","$8,981,515,000.00",Large Cap Growth Equities,2009-12-11,0.04%,Charles Schwab,$0.42,2024-06-26,$0.11,0.40%,25.77,1.10,229,59.75%,40%,20%,1099,$96.43,$105.09,$103.62,$104.28,59.82,A-,A,A,A,C+,C+,B+,6.75,58.24%,58.29%,32.15,8.37%,11.11%
SCHB,Schwab U.S. Broad Market ETF,"$31,203,300",19.34%,"706,611",$66.02,-0.59%,1.38%,2.04%,34.54%,8.59%,15.00%,"$992,450,000.00","$6,283,000.00","$57,284,000.00","$1,366,132,500.00","$2,982,101,000.00","$2,843,815,000.00",Large Cap Growth Equities,2009-11-03,0.03%,Charles Schwab,$0.80,2024-06-26,$0.20,1.21%,18.11,1.03,2473,30.23%,40%,20%,1099,$62.64,$66.90,$65.86,$66.23,59.56,A,A,A,B-,B,A-,A,6.58,26.74%,51.02%,96.81,9.95%,7.25%
SPYG,SPDR Portfolio S&P 500 Growth ETF,"$29,632,400",27.73%,"2,518,143",$82.72,0.15%,3.10%,3.39%,41.37%,8.33%,17.51%,"$2,266,059,837.90","$139,737,255.50","$347,986,431.60","$3,223,008,965.50","$8,778,164,414.35","$13,256,775,726.45",Large Cap Growth Equities,2000-09-25,0.04%,N/A,$0.56,2024-09-23,$0.13,0.68%,19.67,1.05,234,60.37%,40%,20%,1099,$76.37,$83.52,$82.48,$82.98,60.59,A-,A,A,A-,C+,B,B+,6.81,69.15%,61.43%,43.57,6.99%,10.43%
MGK,Vanguard Mega Cap Growth ETF,"$22,852,000",24.36%,"412,515",$322.09,0.19%,3.09%,3.08%,43.78%,9.95%,20.27%,"$2,368,430,750.00","$24,086,250.00","$396,649,500.00","$3,003,341,750.00","$5,156,809,000.00","$8,027,702,044.45",Large Cap Growth Equities,2007-12-17,0.07%,2 Platforms,$1.36,2024-06-27,$0.31,0.42%,29.00,1.11,73,62.25%,40%,20%,1099,$299.36,$324.76,$321.07,$322.96,59.72,A-,A-,A,A,C+,B-,B,6.82,69.64%,61.59%,28.69,5.55%,11.19%
VONG,Vanguard Russell 1000 Growth ETF,"$22,434,700",24.27%,"768,029",$96.64,0.15%,2.95%,3.46%,43.18%,10.20%,19.68%,"$1,221,807,500.00","$62,646,250.00","$193,317,500.00","$3,180,426,500.00","$8,702,019,000.00","$10,303,567,000.00",Large Cap Growth Equities,2010-09-20,0.08%,Vanguard,$0.59,2024-06-27,$0.14,0.61%,25.90,1.08,397,59.40%,40%,20%,1099,$89.19,$97.63,$96.37,$96.92,60.39,A-,A,A,A,C+,B-,A-,6.78,63.55%,59.73%,28.87,8.34%,9.75%
IUSG,iShares Core S&P U.S. Growth ETF,"$19,862,700",26.53%,"371,054",$131.38,-0.17%,2.69%,3.12%,40.16%,8.05%,17.07%,"$863,111,082.70","$45,545,972.65","$134,196,190.30","$1,106,953,013.50","$3,221,763,877.10","$3,816,079,027.10",Large Cap Growth Equities,2000-07-24,0.04%,N/A,$0.99,2024-06-11,$0.14,0.75%,20.25,1.06,487,57.48%,40%,20%,1099,$121.63,$133.01,$131.05,$131.82,59.71,A,A,A,A-,B-,B,A-,6.76,61.18%,58.94%,45.54,8.72%,10.16%
ACWI,iShares MSCI ACWI ETF,"$19,279,600",17.43%,"2,571,615",$118.52,-0.42%,2.03%,2.12%,31.11%,6.75%,11.98%,"-$2,650,197,220.00","$301,734,420.00","$301,734,420.00","-$2,490,611,300.00","-$40,283,700.00","$760,518,600.00",Large Cap Growth Equities,2008-03-26,0.32%,2 Platforms,$1.90,2024-06-11,$0.94,1.60%,15.90,0.93,2327,21.10%,40%,20%,1099,$112.42,$119.48,$118.26,$118.95,60.88,A-,A,B,C+,A-,B+,A,6.86,27.45%,63.24%,122.55,9.78%,7.39%
XLC,Communication Services Select Sector SPDR Fund,"$18,368,500",23.47%,"4,392,072",$88.97,-0.31%,1.74%,2.67%,38.26%,3.57%,13.35%,"-$1,542,503,700.90","-$75,341,774.15","-$320,444,278.55","$91,813,625.10","$709,156,188.80","$4,628,401,498.85",Large Cap Growth Equities,2018-06-18,0.09%,N/A,$0.88,2024-09-23,$0.27,0.99%,15.99,1.02,23,72.15%,40%,20%,1099,$83.03,$90.09,$88.74,$89.39,61.87,A-,A,A-,A-,B-,B-,N/A,4.65,29.17%,18.02%,12.79,0.00%,0.14%
IWV,iShares Russell 3000 ETF,"$14,933,100",19.06%,"115,869",$324.27,-0.67%,1.32%,2.03%,34.14%,8.51%,14.86%,"-$4,942,361.35",$0.00,"-$128,959,335.60","$176,910,577.20","-$63,006,523.02","-$1,935,984,798.02",Large Cap Growth Equities,2000-05-22,0.20%,TD Ameritrade,$3.59,2024-06-11,$0.77,1.10%,18.51,1.02,2674,30.02%,40%,20%,1099,$307.95,$328.89,$323.57,$325.34,59.21,A-,A-,B+,B-,B,B,A,6.57,24.56%,50.47%,97.37,9.83%,6.97%
DGRW,WisdomTree US Quality Dividend Growth Fund,"$14,541,200",18.47%,"552,877",$82.47,-0.53%,0.94%,1.51%,32.09%,12.91%,15.30%,"$1,000,341,045.00","$24,614,570.00","$60,752,315.00","$1,880,055,610.00","$4,590,654,320.00","$6,627,097,830.00",Large Cap Growth Equities,2013-05-22,0.28%,2 Platforms,$1.25,2024-08-27,$0.10,1.52%,19.64,0.88,300,36.61%,40%,20%,1099,$79.12,$83.55,$82.23,$82.79,59.77,A,A,B+,B,A,A,B+,6.98,84.71%,68.59%,58.17,5.55%,3.47%
OEF,iShares S&P 100 ETF,"$13,776,100",23.81%,"238,968",$275.09,-0.37%,1.87%,2.18%,38.76%,11.78%,17.59%,"-$1,436,463,092.30","$68,919,424.15","$68,718,480.00","$1,454,388,738.00","$1,820,857,334.75","$1,956,139,074.75",Large Cap Growth Equities,2000-10-23,0.20%,2 Platforms,$2.78,2024-06-11,$0.63,1.01%,20.57,0.99,102,50.22%,40%,20%,1099,$260.15,$278.11,N/A,N/A,59.99,A-,A-,B+,A-,B,B+,B-,6.58,26.71%,51.02%,65.17,12.71%,7.60%
ESGU,iShares ESG Aware MSCI USA ETF,"$13,337,100",20.17%,"647,729",$125.35,-0.53%,1.45%,2.28%,35.31%,8.56%,15.55%,"-$2,438,895,575.05","-$37,665,507.25","$126,503,137.85","-$2,485,604,349.20","-$9,963,499,923.80","$5,912,821,521.20",Large Cap Growth Equities,2016-12-01,0.15%,N/A,$1.41,2024-06-11,$0.29,1.13%,19.78,1.02,286,32.49%,40%,20%,1099,$118.79,$126.98,$125.06,$125.71,59.88,A-,A,A-,B+,B,B,B+,7.45,96.16%,85.74%,65.16,7.32%,8.19%
VOOG,Vanguard S&P 500 Growth ETF,"$12,968,500",27.66%,"179,882",$344.91,0.03%,2.99%,3.39%,41.27%,8.25%,17.42%,"$1,680,866,400.00","$59,977,400.00","$165,569,800.00","$1,927,877,650.00","$3,830,194,825.95","$5,357,492,325.95",Large Cap Growth Equities,2010-09-07,0.10%,Vanguard,$2.40,2024-06-28,$0.43,0.70%,20.80,1.05,234,58.39%,40%,20%,1099,$318.49,$348.43,$343.99,$345.97,60.52,A-,A-,A-,A-,C+,B,B+,6.81,69.12%,61.42%,43.57,6.99%,10.43%
GSLC,TR Activebeta US Large Cap Equity ETF,"$12,871,000",20.57%,"197,291",$112.16,-0.12%,1.90%,2.34%,35.45%,9.52%,15.09%,"-$800,633,500.00","$5,615,500.00","-$4,981,500.00","-$1,354,834,500.00","-$3,092,912,000.00","-$611,907,500.00",Large Cap Growth Equities,2015-09-21,0.09%,N/A,$1.32,2024-09-24,$0.30,1.17%,18.25,0.98,431,31.23%,40%,20%,1099,$106.02,$113.26,$111.90,$112.45,61.56,A,A-,A,B+,B+,B+,A-,6.77,61.89%,59.14%,73.47,8.15%,6.74%
DYNF,BlackRock U.S. Equity Factor Rotation ETF,"$11,914,300",24.61%,"1,124,298",$49.24,-0.32%,1.50%,2.01%,42.92%,12.18%,15.63%,"$10,483,277,105.00","$134,103,442.50","$1,039,051,860.00","$10,493,261,467.50","$10,447,374,502.50","$10,456,749,032.50",Large Cap Growth Equities,2019-03-19,0.30%,N/A,$0.28,2024-06-11,$0.06,0.58%,18.26,0.97,96,50.08%,40%,20%,1099,$46.66,$49.87,N/A,N/A,59.91,B+,B,B,B-,B+,A-,N/A,6.6,28.78%,51.66%,78.48,11.33%,8.10%
IWY,iShares Russell Top 200 Growth ETF,"$11,792,600",25.73%,"408,978",$219.82,0.08%,2.92%,3.30%,44.60%,11.96%,21.29%,"$1,110,114,517.20","$43,771,117.80","$180,552,108.70","$2,104,226,719.75","$4,189,126,997.35","$5,194,616,162.35",Large Cap Growth Equities,2009-09-22,0.20%,N/A,$1.13,2024-06-11,$0.19,0.51%,26.46,1.07,107,66.42%,40%,20%,1099,$203.17,$222.25,$219.22,$220.42,59.66,B+,A-,B+,A,C+,B-,B,6.82,69.72%,61.65%,18.41,8.81%,10.19%
SPHQ,Invesco S&P 500® Quality ETF,"$11,321,200",24.69%,"974,318",$66.82,-0.43%,0.88%,2.11%,35.93%,11.70%,16.76%,"$2,665,965,360.00","$28,131,450.00","$241,161,290.00","$3,072,222,310.00","$5,697,317,660.00","$6,409,841,790.00",Large Cap Growth Equities,2005-12-06,0.15%,N/A,$0.77,2024-09-23,$0.19,1.16%,15.53,0.94,102,45.09%,40%,20%,1099,$64.39,$67.64,$66.66,$67.05,58.97,A-,A,B+,A-,B+,A-,C+,7.17,91.87%,76.96%,25.94,3.46%,1.48%
MTUM,iShares MSCI USA Momentum Factor ETF,"$10,077,700",29.60%,"635,180",$202.95,-0.02%,3.25%,4.13%,46.68%,4.83%,12.46%,"-$729,057,892.05","$9,944,089.15","-$171,411,291.00","-$1,546,809,154.20","-$5,446,919,031.40","-$5,165,889,256.40",Large Cap Growth Equities,2013-04-16,0.15%,N/A,$1.13,2024-06-11,$0.20,0.56%,14.07,0.91,125,40.99%,40%,20%,1099,$185.98,$204.84,$202.44,$203.56,61.92,B+,A,A-,A-,B-,B-,B-,6.62,31.83%,52.38%,68.77,11.59%,6.92%
ESGV,Vanguard ESG U.S. Stock ETF,"$9,519,450",19.70%,"179,269",$100.97,-0.27%,1.75%,2.51%,36.92%,8.08%,15.75%,"$600,489,000.00","$24,748,750.00","$64,157,750.00","$772,164,750.00","$2,473,763,500.00","$5,918,403,500.00",Large Cap Growth Equities,2018-09-18,0.09%,N/A,$1.13,2024-09-20,$0.28,1.12%,21.00,1.03,1390,35.78%,40%,20%,1099,$95.30,$102.12,$100.75,$101.28,60.18,A-,A-,A-,B+,B-,B,N/A,6.69,43.66%,55.58%,41.01,4.55%,8.07%
